"Year","fv_pop_rmblk","fv_pop_kv","fv_pop_av","m_pop_rmblk","m_pop_kv","m_pop_av","yjp_pop_rmblk","yjp_pop_kv","yjp_pop_av"
700,40,90,65,106,42,74,0,0,0
701,40,90,65,106,42,74,0,0,0
702,40,90,65,106,42,74,0,0,0
703,40,90,65,106,42,74,0,0,0
704,40,90,65,106,42,74,0,0,0
705,40,90,65,106,42,74,0,0,0
706,40,90,65,106,42,74,0,0,0
707,40,90,65,106,42,74,0,0,0
708,40,90,65,106,42,74,0,0,0
709,40,90,65,106,42,74,0,0,0
710,40,90,65,106,42,74,0,0,0
711,40,90,65,106,42,74,0,0,0
712,40,90,65,106,42,74,0,0,0
713,40,90,65,106,42,74,0,0,0
714,40,90,65,106,42,74,0,0,0
715,40,90,65,106,42,74,0,0,0
716,40,90,65,106,42,74,0,0,0
717,40,90,65,106,42,74,0,0,0
718,40,90,65,106,42,74,0,0,0
719,40,90,65,106,42,74,0,0,0
720,40,90,65,106,42,74,0,0,0
721,40,90,65,106,42,74,0,0,0
722,40,90,65,106,42,74,0,0,0
723,40,90,65,106,42,74,0,0,0
724,40,90,65,106,42,74,0,0,0
725,40,90,65,106,42,74,0,0,0
726,40,90,65,106,42,74,0,0,0
727,40,90,65,106,42,74,0,0,0
728,40,90,65,106,42,74,0,0,0
729,40,90,65,106,42,74,0,0,0
730,40,90,65,106,42,74,0,0,0
731,40,90,65,106,42,74,0,0,0
732,40,90,65,106,42,74,0,0,0
733,40,90,65,106,42,74,0,0,0
734,40,90,65,106,42,74,0,0,0
735,40,90,65,106,42,74,0,0,0
736,40,90,65,106,42,74,0,0,0
737,40,90,65,106,42,74,0,0,0
738,40,90,65,106,42,74,0,0,0
739,40,90,65,106,42,74,0,0,0
740,40,90,65,106,42,74,0,0,0
741,40,90,65,106,42,74,0,0,0
742,40,90,65,106,42,74,0,0,0
743,40,90,65,106,42,74,0,0,0
744,40,90,65,106,42,74,0,0,0
745,40,90,65,106,42,74,0,0,0
746,40,90,65,106,42,74,0,0,0
747,40,90,65,106,42,74,0,0,0
748,40,90,65,106,42,74,0,0,0
749,40,90,65,106,42,74,0,0,0
750,40,90,65,106,42,74,0,0,0
751,40,90,65,106,42,74,0,0,0
752,40,90,65,106,42,74,0,0,0
753,40,90,65,106,42,74,0,0,0
754,40,90,65,106,42,74,0,0,0
755,40,90,65,106,42,74,0,0,0
756,40,90,65,106,42,74,0,0,0
757,40,90,65,106,42,74,0,0,0
758,40,90,65,106,42,74,0,0,0
759,40,90,65,106,42,74,0,0,0
760,40,90,65,106,42,74,0,0,0
761,40,90,65,106,42,74,0,0,0
762,40,90,65,106,42,74,0,0,0
763,40,90,65,106,42,74,0,0,0
764,40,90,65,106,42,74,0,0,0
765,40,90,65,106,42,74,0,0,0
766,40,90,65,106,42,74,0,0,0
767,40,90,65,106,42,74,0,0,0
768,40,90,65,106,42,74,0,0,0
769,40,90,65,106,42,74,0,0,0
770,40,90,65,106,42,74,0,0,0
771,40,90,65,106,42,74,0,0,0
772,40,90,65,106,42,74,0,0,0
773,40,90,65,106,42,74,0,0,0
774,40,90,65,106,42,74,0,0,0
775,40,90,65,106,42,74,0,0,0
776,40,90,65,106,42,74,0,0,0
777,40,90,65,106,42,74,0,0,0
778,40,90,65,106,42,74,0,0,0
779,40,90,65,106,42,74,0,0,0
780,40,90,65,106,42,74,0,0,0
781,40,90,65,106,42,74,0,0,0
782,40,90,65,106,42,74,0,0,0
783,40,90,65,106,42,74,0,0,0
784,40,90,65,106,42,74,0,0,0
785,40,90,65,106,42,74,0,0,0
786,40,90,65,106,42,74,0,0,0
787,40,90,65,106,42,74,0,0,0
788,40,90,65,106,42,74,0,0,0
789,40,90,65,106,42,74,0,0,0
790,40,90,65,106,42,74,0,0,0
791,40,90,65,106,42,74,0,0,0
792,40,90,65,106,42,74,0,0,0
793,40,90,65,106,42,74,0,0,0
794,40,90,65,106,42,74,0,0,0
795,40,90,65,106,42,74,0,0,0
796,40,90,65,106,42,74,0,0,0
797,40,90,65,106,42,74,0,0,0
798,40,90,65,106,42,74,0,0,0
799,40,90,65,106,42,74,0,0,0
800,17,42,29.5,111,42,76.5,0,0,0
801,17,42,29.5,111,42,76.5,0,0,0
802,17,42,29.5,111,42,76.5,0,0,0
803,17,42,29.5,111,42,76.5,0,0,0
804,17,42,29.5,111,42,76.5,0,0,0
805,17,42,29.5,111,42,76.5,0,0,0
806,17,42,29.5,111,42,76.5,0,0,0
807,17,42,29.5,111,42,76.5,0,0,0
808,17,42,29.5,111,42,76.5,0,0,0
809,17,42,29.5,111,42,76.5,0,0,0
810,17,42,29.5,111,42,76.5,0,0,0
811,17,42,29.5,111,42,76.5,0,0,0
812,17,42,29.5,111,42,76.5,0,0,0
813,17,42,29.5,111,42,76.5,0,0,0
814,17,42,29.5,111,42,76.5,0,0,0
815,17,42,29.5,111,42,76.5,0,0,0
816,17,42,29.5,111,42,76.5,0,0,0
817,17,42,29.5,111,42,76.5,0,0,0
818,17,42,29.5,111,42,76.5,0,0,0
819,17,42,29.5,111,42,76.5,0,0,0
820,17,42,29.5,111,42,76.5,0,0,0
821,17,42,29.5,111,42,76.5,0,0,0
822,17,42,29.5,111,42,76.5,0,0,0
823,17,42,29.5,111,42,76.5,0,0,0
824,17,42,29.5,111,42,76.5,0,0,0
825,17,42,29.5,111,42,76.5,0,0,0
826,17,42,29.5,111,42,76.5,0,0,0
827,17,42,29.5,111,42,76.5,0,0,0
828,17,42,29.5,111,42,76.5,0,0,0
829,17,42,29.5,111,42,76.5,0,0,0
830,17,42,29.5,111,42,76.5,0,0,0
831,17,42,29.5,111,42,76.5,0,0,0
832,17,42,29.5,111,42,76.5,0,0,0
833,17,42,29.5,111,42,76.5,0,0,0
834,17,42,29.5,111,42,76.5,0,0,0
835,17,42,29.5,111,42,76.5,0,0,0
836,17,42,29.5,111,42,76.5,0,0,0
837,17,42,29.5,111,42,76.5,0,0,0
838,17,42,29.5,111,42,76.5,0,0,0
839,17,42,29.5,111,42,76.5,0,0,0
840,17,42,29.5,111,42,76.5,0,0,0
841,17,42,29.5,111,42,76.5,0,0,0
842,17,42,29.5,111,42,76.5,0,0,0
843,17,42,29.5,111,42,76.5,0,0,0
844,17,42,29.5,111,42,76.5,0,0,0
845,17,42,29.5,111,42,76.5,0,0,0
846,17,42,29.5,111,42,76.5,0,0,0
847,17,42,29.5,111,42,76.5,0,0,0
848,17,42,29.5,111,42,76.5,0,0,0
849,17,42,29.5,111,42,76.5,0,0,0
850,17,42,29.5,111,42,76.5,0,0,0
851,17,42,29.5,111,42,76.5,0,0,0
852,17,42,29.5,111,42,76.5,0,0,0
853,17,42,29.5,111,42,76.5,0,0,0
854,17,42,29.5,111,42,76.5,0,0,0
855,17,42,29.5,111,42,76.5,0,0,0
856,17,42,29.5,111,42,76.5,0,0,0
857,17,42,29.5,111,42,76.5,0,0,0
858,17,42,29.5,111,42,76.5,0,0,0
859,17,42,29.5,111,42,76.5,0,0,0
860,17,42,29.5,111,42,76.5,0,0,0
861,17,42,29.5,111,42,76.5,0,0,0
862,17,42,29.5,111,42,76.5,0,0,0
863,17,42,29.5,111,42,76.5,0,0,0
864,17,42,29.5,111,42,76.5,0,0,0
865,17,42,29.5,111,42,76.5,0,0,0
866,17,42,29.5,111,42,76.5,0,0,0
867,17,42,29.5,111,42,76.5,0,0,0
868,17,42,29.5,111,42,76.5,0,0,0
869,17,42,29.5,111,42,76.5,0,0,0
870,17,42,29.5,111,42,76.5,0,0,0
871,17,42,29.5,111,42,76.5,0,0,0
872,17,42,29.5,111,42,76.5,0,0,0
873,17,42,29.5,111,42,76.5,0,0,0
874,17,42,29.5,111,42,76.5,0,0,0
875,17,42,29.5,111,42,76.5,0,0,0
876,17,42,29.5,111,42,76.5,0,0,0
877,17,42,29.5,111,42,76.5,0,0,0
878,17,42,29.5,111,42,76.5,0,0,0
879,17,42,29.5,111,42,76.5,0,0,0
880,47,102,74.5,192,186,189,0,0,0
881,47,102,74.5,192,186,189,0,0,0
882,47,102,74.5,192,186,189,0,0,0
883,47,102,74.5,192,186,189,0,0,0
884,47,102,74.5,192,186,189,0,0,0
885,47,102,74.5,192,186,189,0,0,0
886,47,102,74.5,192,186,189,0,0,0
887,47,102,74.5,192,186,189,0,0,0
888,47,102,74.5,192,186,189,0,0,0
889,47,102,74.5,192,186,189,0,0,0
890,47,102,74.5,192,186,189,0,0,0
891,47,102,74.5,192,186,189,0,0,0
892,47,102,74.5,192,186,189,0,0,0
893,47,102,74.5,192,186,189,0,0,0
894,47,102,74.5,192,186,189,0,0,0
895,47,102,74.5,192,186,189,0,0,0
896,47,102,74.5,192,186,189,0,0,0
897,47,102,74.5,192,186,189,0,0,0
898,47,102,74.5,192,186,189,0,0,0
899,47,102,74.5,192,186,189,0,0,0
900,47,102,74.5,192,186,189,0,0,0
901,47,102,74.5,192,186,189,0,0,0
902,47,102,74.5,192,186,189,0,0,0
903,47,102,74.5,192,186,189,0,0,0
904,47,102,74.5,192,186,189,0,0,0
905,47,102,74.5,192,186,189,0,0,0
906,47,102,74.5,192,186,189,0,0,0
907,47,102,74.5,192,186,189,0,0,0
908,47,102,74.5,192,186,189,0,0,0
909,47,102,74.5,192,186,189,0,0,0
910,47,102,74.5,192,186,189,0,0,0
911,47,102,74.5,192,186,189,0,0,0
912,47,102,74.5,192,186,189,0,0,0
913,47,102,74.5,192,186,189,0,0,0
914,47,102,74.5,192,186,189,0,0,0
915,47,102,74.5,192,186,189,0,0,0
916,47,102,74.5,192,186,189,0,0,0
917,47,102,74.5,192,186,189,0,0,0
918,47,102,74.5,192,186,189,0,0,0
919,47,102,74.5,192,186,189,0,0,0
920,127,162,144.5,198,234,216,4,18,11
921,127,162,144.5,198,234,216,4,18,11
922,127,162,144.5,198,234,216,4,18,11
923,127,162,144.5,198,234,216,4,18,11
924,127,162,144.5,198,234,216,4,18,11
925,127,162,144.5,198,234,216,4,18,11
926,127,162,144.5,198,234,216,4,18,11
927,127,162,144.5,198,234,216,4,18,11
928,127,162,144.5,198,234,216,4,18,11
929,127,162,144.5,198,234,216,4,18,11
930,127,162,144.5,198,234,216,4,18,11
931,127,162,144.5,198,234,216,4,18,11
932,127,162,144.5,198,234,216,4,18,11
933,127,162,144.5,198,234,216,4,18,11
934,127,162,144.5,198,234,216,4,18,11
935,127,162,144.5,198,234,216,4,18,11
936,127,162,144.5,198,234,216,4,18,11
937,127,162,144.5,198,234,216,4,18,11
938,127,162,144.5,198,234,216,4,18,11
939,127,162,144.5,198,234,216,4,18,11
940,127,162,144.5,198,234,216,4,18,11
941,127,162,144.5,198,234,216,4,18,11
942,127,162,144.5,198,234,216,4,18,11
943,127,162,144.5,198,234,216,4,18,11
944,127,162,144.5,198,234,216,4,18,11
945,127,162,144.5,198,234,216,4,18,11
946,127,162,144.5,198,234,216,4,18,11
947,127,162,144.5,198,234,216,4,18,11
948,127,162,144.5,198,234,216,4,18,11
949,127,162,144.5,198,234,216,4,18,11
950,127,162,144.5,198,234,216,4,18,11
951,127,162,144.5,198,234,216,4,18,11
952,127,162,144.5,198,234,216,4,18,11
953,127,162,144.5,198,234,216,4,18,11
954,127,162,144.5,198,234,216,4,18,11
955,127,162,144.5,198,234,216,4,18,11
956,127,162,144.5,198,234,216,4,18,11
957,127,162,144.5,198,234,216,4,18,11
958,127,162,144.5,198,234,216,4,18,11
959,127,162,144.5,198,234,216,4,18,11
